date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,14.7(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
11/09/2024,14.7(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
10/09/2024,14.7(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
09/09/2024,14.7(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
06/09/2024,14.7(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
05/09/2024,14.7(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
04/09/2024,14.7(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
30/08/2024,14.7(14.84 %),0,0,0,0,0,0,"588,000",0%,apl
29/08/2024,12.8(-14.67 %),0,0,0,0,0,0,"588,000",0%,apl
28/08/2024,15(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
27/08/2024,15(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
26/08/2024,15(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
23/08/2024,15(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
22/08/2024,15(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
21/08/2024,15(-12.28 %),0,0,0,0,0,0,"588,000",0%,apl
20/08/2024,17.1(0.00 %),0,0,0,0,0,0,588,0%,apl
19/08/2024,17.1(0.00 %),0,0,0,0,0,0,588,0%,apl
16/08/2024,17.1(1.18 %),0,0,0,0,0,0,588,0%,apl
15/08/2024,17.1(-13.64 %),0,0,0,0,0,0,588,0%,apl
14/08/2024,19.8(0.00 %),0,0,0,0,0,0,588,0%,apl
13/08/2024,19.8(0.00 %),0,0,0,0,0,0,588,0%,apl
12/08/2024,19.8(0.00 %),0,0,0,0,0,0,588,0%,apl
09/08/2024,19.8(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
08/08/2024,19.8(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
07/08/2024,19.8(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
06/08/2024,19.8(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
05/08/2024,19.8(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
02/08/2024,19.8(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
01/08/2024,19.8(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
31/07/2024,19.8(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
30/07/2024,19.8(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
29/07/2024,19.8(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
24/07/2024,19.8(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
23/07/2024,19.8(3.66 %),0,0,0,0,0,0,"588,000",0%,apl
22/07/2024,19.1(9.14 %),0,0,0,0,0,0,"588,000",0%,apl
19/07/2024,17.5(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
18/07/2024,17.5(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
17/07/2024,0(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
16/07/2024,0(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
15/07/2024,16.9(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
12/07/2024,17.2(14.67 %),0,0,0,0,0,0,"588,000",0%,apl
11/07/2024,15(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
10/07/2024,15(14.50 %),0,0,0,0,0,0,"588,000",0%,apl
08/07/2024,13.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
04/07/2024,13.1(0.00 %),0,0,0,0,0,0,588,0%,apl
03/07/2024,13.1(0.00 %),0,0,0,0,0,0,588,48.95%,apl
02/07/2024,13.1(0.00 %),0,0,0,0,0,0,588,0%,apl
01/07/2024,13.1(0.00 %),0,0,0,0,0,0,588,0%,apl
28/06/2024,13.1(-14.38 %),0,0,0,0,0,0,"588,000",0%,apl
27/06/2024,15.3(-14.53 %),0,0,0,0,0,0,"588,000",0%,apl
26/06/2024,17.9(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
25/06/2024,17.9(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
24/06/2024,17.9(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
21/06/2024,17.9(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
20/06/2024,17.9(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
19/06/2024,17.9(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
18/06/2024,17.9(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
17/06/2024,0(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
14/06/2024,0(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
13/06/2024,16.2(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
12/06/2024,16.2(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
11/06/2024,16.2(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
10/06/2024,16.2(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
07/06/2024,16.2(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
06/06/2024,16.2(-6.90 %),0,0,0,0,0,0,"588,000",0%,apl
05/06/2024,17.4(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
04/06/2024,17.4(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
03/06/2024,17.4(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
31/05/2024,17.4(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
30/05/2024,17.4(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
29/05/2024,17.4(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
28/05/2024,17.4(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
27/05/2024,17.4(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
24/05/2024,17.4(-14.71 %),0,0,0,0,0,0,"588,000",0%,apl
23/05/2024,20.4(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
22/05/2024,20.4(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
21/05/2024,20.4(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
20/05/2024,20.4(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
17/05/2024,20.4(10.27 %),0,0,0,0,0,0,"588,000",0%,apl
16/05/2024,18.5(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
15/05/2024,18.5(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
14/05/2024,18.5(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
13/05/2024,18.5(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
10/05/2024,18.5(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
09/05/2024,18.5(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
08/05/2024,18.5(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
07/05/2024,18.5(-0.54 %),0,0,0,0,0,0,588,0%,apl
06/05/2024,18.6(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
03/05/2024,18.6(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
02/05/2024,18.6(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
26/04/2024,18.6(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
25/04/2024,18.6(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
24/04/2024,18.6(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
23/04/2024,18.6(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
22/04/2024,18.6(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
19/04/2024,18.6(-13.89 %),0,0,0,0,0,0,"588,000",0%,apl
17/04/2024,21.6(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
16/04/2024,21.6(1.41 %),0,0,0,0,0,0,"588,000",0%,apl
15/04/2024,20.5(0.49 %),0,0,0,0,0,0,"588,000",0%,apl
12/04/2024,21.6(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
11/04/2024,21.6(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
10/04/2024,21.6(-14.62 %),0,0,0,0,0,0,"588,000",0%,apl
09/04/2024,25.3(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
08/04/2024,25.3(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
05/04/2024,25.3(39.78 %),0,0,0,0,0,0,"588,000",0%,apl
04/04/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
03/04/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
02/04/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
01/04/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
29/03/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
28/03/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
27/03/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
26/03/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
25/03/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
22/03/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
21/03/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
20/03/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
19/03/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
18/03/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
15/03/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
14/03/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
13/03/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
12/03/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
11/03/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
08/03/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
07/03/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
06/03/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
05/03/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
04/03/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
01/03/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
29/02/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
28/02/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
27/02/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
26/02/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
23/02/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
22/02/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
21/02/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
20/02/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
19/02/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
16/02/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
15/02/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
07/02/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
06/02/2024,18.1(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
05/02/2024,18.1(14.56 %),0,0,0,0,0,0,"588,000",0%,apl
02/02/2024,15.8(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
01/02/2024,15.8(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
31/01/2024,15.8(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
30/01/2024,15.8(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
29/01/2024,15.8(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
26/01/2024,15.8(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
25/01/2024,15.8(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
24/01/2024,15.8(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
23/01/2024,15.8(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
22/01/2024,15.8(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
19/01/2024,15.8(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
18/01/2024,15.8(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
17/01/2024,15.8(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
16/01/2024,15.8(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
15/01/2024,15.8(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
12/01/2024,15.8(-14.59 %),0,0,0,0,0,0,"588,000",0%,apl
11/01/2024,18.5(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
10/01/2024,18.5(-14.75 %),0,0,0,0,0,0,"588,000",0%,apl
09/01/2024,21.7(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
08/01/2024,21.7(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
05/01/2024,21.7(14.81 %),0,0,0,0,0,0,"588,000",0%,apl
04/01/2024,18.9(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
03/01/2024,18.9(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
02/01/2024,18.9(0.00 %),0,0,0,0,0,0,"588,000",0%,apl
