,date,closing_price,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open_price,high,low
0,16/08/2024,--,--,--,"508,400",65.96,0,0,129.1,130.1,129.1
1,13/08/2024,129.7,--,-0.3(-0.23 %),"4,097,900",529.46,"48,001",6.24,129.7,130.2,128
2,12/08/2024,130,--,3.1(2.44 %),"6,183,500",797.5,"591,501",75.42,126.9,130.2,126.2
3,09/08/2024,126.9,--,5.5(4.53 %),"5,496,400",684.74,"165,000",20.55,122.4,126.9,122
4,08/08/2024,121.4,--,-0.6(-0.49 %),"2,654,900",323,"576,531",70.13,121.6,122.4,120.9
5,07/08/2024,122,--,1.2(0.99 %),"2,822,800",341.32,0,0,121,122,120.2
6,06/08/2024,120.8,--,2.2(1.85 %),"6,728,100",812.06,"263,750",31.26,120,121.9,119.8
7,05/08/2024,118.6,--,-4.6(-3.73 %),"10,415,200","1,254.1",0,0,121.1,122.9,117.4
8,02/08/2024,123.2,--,-1.6(-1.28 %),"9,944,700","1,221.18","212,500",25.35,122.1,124.8,121
9,01/08/2024,124.8,--,-3.8(-2.95 %),"6,870,300",866.88,1,0,129.6,129.7,124.1
10,31/07/2024,128.6,--,0.6(0.47 %),"2,869,200",366.62,"225,000",28.85,127.3,128.6,126.6
11,30/07/2024,128,--,-1(-0.78 %),"2,373,800",303.85,"50,000",6.05,129,129.5,127
12,29/07/2024,129,--,1(0.78 %),"4,859,800",631.08,"150,000",20.54,130,130.6,129
13,26/07/2024,128,--,3(2.40 %),"3,951,100",497.18,"1,182,600",148.81,125.9,128,124.4
14,25/07/2024,125,--,-1(-0.79 %),"2,563,400",319.82,"685,001",86.06,124.2,125.5,124.1
15,24/07/2024,126,--,0.5(0.40 %),"4,151,700",520.86,"20,000",2.68,125.5,126.6,124
16,23/07/2024,125.5,--,1.4(1.13 %),"5,311,600",672.73,"100,000",11.55,124.9,127.5,124.8
17,22/07/2024,124.1,--,-1.9(-1.51 %),"6,216,900",772.29,0,0,126,126,123.2
18,19/07/2024,126,--,-1.9(-1.49 %),"6,551,700",832.65,0,0,128.6,129.3,126
19,18/07/2024,127.9,--,-4(-3.03 %),"10,800,200","1,391.94","25,001",3.3,131.4,131.4,127.8
20,17/07/2024,131.9,--,-2.1(-1.57 %),"6,970,100",921.8,0,0,134,134.1,129.9
21,16/07/2024,134,--,1.3(0.98 %),"4,002,300",533.55,"349,900",46.6,133.6,134.5,132.3
22,15/07/2024,132.7,--,-1.1(-0.82 %),"3,067,200",408.78,0,0,133.5,134.8,132.3
23,12/07/2024,133.8,--,0.8(0.60 %),"3,553,400",476.05,"36,600",4.9,132.2,136,132.2
24,11/07/2024,133,--,-1(-0.75 %),"6,842,100",913.79,"40,000",5.37,134.1,135.4,132.5
25,10/07/2024,134,--,-3.5(-2.55 %),"6,294,700",853.17,"43,000",5.86,136,137,134
26,09/07/2024,137.5,--,-2.1(-1.50 %),"9,676,100","1,327.02","20,000",2.74,139.1,139.3,136
27,08/07/2024,139.6,--,0.9(0.65 %),"5,865,700",814.73,"240,000",33.33,138.5,139.6,137.5
28,05/07/2024,138.7,--,2.9(2.14 %),"7,789,400","1,078.09","20,000",2.76,136.1,139.7,136.1
29,04/07/2024,135.8,--,4.8(3.66 %),"8,117,900","1,088.49",0,0,132.1,135.8,132.1
30,03/07/2024,131,--,3(2.34 %),"7,634,100","1,005.1","250,001",32.92,130.5,132.8,130.1
31,02/07/2024,128,--,-0.6(-0.47 %),"6,720,600",873.66,"839,401",109.69,128.6,132.1,127.5
32,01/07/2024,128.6,--,-1.9(-1.46 %),"6,376,000",822.64,"78,000",10.89,130.4,130.4,128.5
